Content ID,Question ID,Flag type,Original value,Cleaned value,Note,Exclude from scoring
PHIL-023,Q2,normalized multi-select formatting,"Social issues, Gender issues","Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-023,Q8,normalized multi-select formatting,"Global political/social/cultural problems, Kenyan or Nigerian political/social problems","Kenyan or Nigerian political/social problems, Global political/social/cultural problems",Standardized separators/case/order/exact labels,No
PHIL-031,Q2,normalized multi-select formatting,"Social issues, Mental health, Gender issues","Mental health, Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-031,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
PHIL-031,Q3,normalized multi-select formatting,"Personal story, Commentary/reaction content","Commentary/reaction content, Personal story",Standardized separators/case/order/exact labels,No
KIBE-011,Q2,normalized multi-select formatting,"Gender issues, Money/status","Money/status, Gender issues",Standardized separators/case/order/exact labels,No
KIBE-079,Q8,normalized multi-select formatting,"Women/feminism, Global political/social/cultural problems","Global political/social/cultural problems, Women/feminism",Standardized separators/case/order/exact labels,No
1951546068304314751,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
1951546068304314751,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
1951583978584002773,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
1951583978584002773,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
1951659746303377415,Q2,normalized multi-select formatting,"Gender issues, Family/children","Family/children, Gender issues",Standardized separators/case/order/exact labels,No
1951659746303377415,Q9,normalized multi-select formatting,"More self-discipline/fitness, Assert dominance/control","Assert dominance/control, More self-discipline/fitness",Standardized separators/case/order/exact labels,No
1973440936542720469,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
2035235206035034470,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
2035235206035034470,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
2035333355189747989,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
KIBE-064,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
KIBE-091,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
1951561231522746625,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1951614290114310219,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2040406554671829239,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1954188481585873209,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1954188481585873209,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
KIBE-004,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-004,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2043969069993378270,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2043969069993378270,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
KIBE-002,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
EDDY-036,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
EDDY-012,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-007,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-009,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-028,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
PHIL-002,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
KIBE-001,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-020,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-029,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-029,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1951568877998965117,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1951568877998965117,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1975078851945394590,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1975078851945394590,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1976936284460351491,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1976936284460351491,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2040414105522065830,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
EDDY-028,Q18,remaining invalid single value,Calls for men to follow more equitable gender norms,Calls for men to follow more equitable gender norms,Not an exact prompt option,Yes
EDDY-031,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
EDDY-041,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-015,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-054,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-068,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
PHIL-025,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
KIBE-016,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-016,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
KIBE-049,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-049,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1954098073262522452,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1954098073262522452,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1954196373861003731,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1954196373861003731,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1962749588588187787,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
EDDY-001,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
EDDY-060,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-073,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
PHIL-034,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
KIBE-003,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-003,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
KIBE-008,Q18,remaining invalid single value,Calls for women to follow more traditional gender norms,Calls for women to follow more traditional gender norms,Not an exact prompt option,Yes
1951644655797362727,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1951644655797362727,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2035265419842359420,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2035265419842359420,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2039621704155045988,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2039621704155045988,Q3,remaining invalid multi value,News/telling facts,News/telling facts,Not an exact prompt option,Yes
2047918654382112910,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2047918654382112910,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
EDDY-037,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
EDDY-051,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
PHIL-039,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
KIBE-005,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
KIBE-058,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
KIBE-067,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
KIBE-067,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1976943608214212735,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1976943608214212735,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1977034206967378054,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1977034206967378054,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2035227655516061989,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2047926330331684873,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2047926330331684873,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2047971502197195023,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2048054872243618116,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
KIBE-036,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-065,Q18,remaining invalid single value,Calls for men to follow more equitable gender norms,Calls for men to follow more equitable gender norms,Not an exact prompt option,Yes
EDDY-005,Q18,remaining invalid single value,Calls for men to follow more equitable gender norms,Calls for men to follow more equitable gender norms,Not an exact prompt option,Yes
EDDY-017,Q18,remaining invalid single value,Calls for men to follow more equitable gender norms,Calls for men to follow more equitable gender norms,Not an exact prompt option,Yes
EDDY-023,Q18,remaining invalid single value,Calls for men to follow more equitable gender norms,Calls for men to follow more equitable gender norms,Not an exact prompt option,Yes
EDDY-023,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
EDDY-055,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-018,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-046,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
RIX-047,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
PHIL-006,Q3,remaining invalid multi value,News/telling facts,News/telling facts,Not an exact prompt option,Yes
PHIL-031,Q3,remaining invalid multi value,Personal story,Personal story,Not an exact prompt option,Yes
1951546068304314751,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1951546068304314751,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1951583978584002773,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
1951583978584002773,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
1973440936542720469,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2035235206035034470,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
2035235206035034470,Q3,remaining invalid multi value,Advice/instruction,Advice/instruction,Not an exact prompt option,Yes
2035333355189747989,Q18,remaining invalid single value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Not an exact prompt option,Yes
