dataset,country,row_id,source_sheet,creator,orientation,platform,source_url,content_type,context,text,themes,primary_theme,sentiment,emotions,framing,argument_type,toxicity_0_3,misogyny_0_3,hate_speech,women_portrayal,moral_foundations,key_terms,rationale
content,Kenya,RIX-006,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango contrasts his early childhood with Jagero's — describing the years when his father was emotionally present],I remember the first seven years of my life were very good very very good. My dad we were really good friends he used to have this thing where he'd put me on the living room table and put on his Sanyo radio for those who are old enough who can remember Sanyo and put on lingala music or sukus and he tell me to dance for him. And so dancing became sort of like a love language in in my home whenever I saw my father I knew it's time to dance you know and we listen to a lot of music at home he'd buy me Taifa Leo and put me on his lap and tell me and show me how to read.,"[""family/fatherhood/parenting"", ""relationships/love/loyalty""]",family/fatherhood/parenting,positive,"[""joy"", ""nostalgia""]",family/fatherhood,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""father"", ""dance"", ""music"", ""love language""]","The content reflects a positive and nostalgic view of the creator's relationship with his father, emphasizing love and bonding through shared activities."
content,Kenya,RIX-007,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,"[Onyango describes the pivotal moment when his family moved and his father took a private-school job — the entry point of money, women and violence]",Then we moved from kangela and that's when the hell began because he was teaching in a government school and then we went for the first time he got work in a private school and uh you see that came with money and then it also came with women and then now the violence began.,"[""money/status/provision"", ""violence/abuse/accountability"", ""relationships/love/loyalty""]",money/status/provision,negative,"[""fear"", ""anger""]",provider/status,personal story,2,1,none,negative/problematic,"[""loyalty/betrayal"", ""care/harm""]","[""money"", ""violence"", ""women""]","The content describes a negative shift in family dynamics associated with money, women, and violence, indicating a problematic portrayal of relationships."
content,Kenya,RIX-008,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes the conditions of his Huruma home and how parents fighting in tight spaces affects children],We lived in very dingy homes man you know the whole day because the window there's another plot on the other side you know there was no space at all PL those men used to fight man I don't know and it is in the same place that you boys are there with your friends playing Bano playing football there is sewage going there was chaos everywhere and at the same time my parents would fight a lot.,"[""family/fatherhood/parenting"", ""mental health/trauma/healing"", ""violence/abuse/accountability""]",family/fatherhood/parenting,negative,"[""sadness"", ""frustration""]",vulnerability/healing,personal story,1,0,none,neutral/mixed,"[""care/harm"", ""loyalty/betrayal""]","[""dingy homes"", ""fighting"", ""chaos"", ""sewage""]","The content describes a challenging home environment affecting children, highlighting themes of family dynamics and trauma."
content,Kenya,RIX-009,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango recounts the central trauma of his life — the night his father accused him of stealing a Bill Cosby novel and burned his hand with kerosene],He's looking for this book and he seems not to be finding it if something is not in the four corners of a single room surely it's not there. He starts beating me up but then this night was different. He gets out he comes back to the house he comes back with the wire like a meter of that telephone copper wire and he strips me of my clothes. So he is whipping my back and he's telling me to produce the book. My father used to beat you with his soul my friend all the anger that he carried in his body comes to this moment.,"[""violence/abuse/accountability"", ""mental health/trauma/healing"", ""family/fatherhood/parenting""]",violence/abuse/accountability,negative,"[""fear"", ""pain"", ""anger""]",vulnerability/healing,personal story,3,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""abuse"", ""trauma"", ""father"", ""violence""]","The content recounts a traumatic experience of abuse from a father, highlighting themes of violence and mental health."
content,Kenya,RIX-010,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,"[Continuation of the kerosene incident — Onyango's father returns with rope, kerosene jerrycan, and matches]",I lie at other times but today I'm lying about something that I actually didn't do so that I can be left alone and I say at some point I say okay I took it. He looks at me with his bloodshot eyes and he says I'll do something to you that you'll never forget. He walks out he comes back with a size rope as if he'd planned all this and he goes into the kitchen he comes back with the Jeran paraffin Jeran maut those days and he comes with a matchbox. And he ties my hands ties my hands he opens the paraffin Jeran pours some of the paraffin on the lid smears the paraffin on my hand lights up the match stick and puts the flame on my hand.,"[""violence/abuse/accountability"", ""mental health/trauma/healing""]",violence/abuse/accountability,negative,"[""fear"", ""pain""]",vulnerability/healing,personal story,3,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""violence"", ""trauma"", ""fear"", ""abuse""]","The content describes a traumatic experience involving violence and abuse, highlighting themes of fear and trauma."
content,Kenya,RIX-011,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes the immediate aftermath of the burning — and the lasting psychological wound],I have a scar if you've been seeing it so that's the scar this is the scar and I think my brain blocked the pain of that specific moment because I could I cannot remember it what I know is I felt like something had been broken inside me that I didn't have a name for. I was never the same I could not walk for two weeks. I became suicidal.,"[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,negative,"[""pain"", ""sadness"", ""fear""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm""]","[""scar"", ""pain"", ""suicidal""]","The content focuses on the psychological impact of trauma and the narrator's emotional struggles, aligning with themes of mental health and vulnerability."
content,Kenya,RIX-012,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,"[After the burning, Onyango describes how he changed personality completely]",I began fearing the world because I imagined if these people at home can do this to me what about strangers man that's a 10-year-old brain asking what about strangers you see so I withdrew completely became very quiet RX who was very outgoing and you know playmaking and all that I just became quiet because now it's about protecting myself now you don't know what's the next thing that will happen.,"[""mental health/trauma/healing"", ""men withdrawing/peace over performance""]",mental health/trauma/healing,negative,"[""fear"", ""isolation""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm""]","[""fear"", ""withdrew"", ""quiet"", ""protection""]","The content reflects a personal experience of trauma and withdrawal, emphasizing mental health and healing."
content,Kenya,RIX-013,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes trying to physically intervene in his parents' fights],And in a single room when people are fighting Jagero it's crazy because these people are bundling each other corner to corner to corner it's like wrestling you're just watching WWE there you know and sometimes you become collateral because sometimes I would try to get in between the fights to get my dad away from my mom and he'd just throw me out like like some fly you know.,"[""violence/abuse/accountability"", ""family/fatherhood/parenting"", ""mental health/trauma/healing""]",violence/abuse/accountability,negative,"[""fear"", ""frustration""]",vulnerability/healing,personal story,2,0,none,neutral/mixed,"[""care/harm"", ""loyalty/betrayal""]","[""fighting"", ""intervene"", ""collateral"", ""family""]","The content describes a traumatic experience of witnessing violence in the family, highlighting the struggle to intervene and the emotional impact of such situations."
content,Kenya,RIX-014,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango on how the household carried on as if nothing had happened the next day],Life went back to normal like the previous night like nothing had happened and that's how things used to be in the home they fight very badly tonight nothing homework nothing had happened. Isn't that a horrible way of living?,"[""mental health/trauma/healing"", ""family/fatherhood/parenting""]",mental health/trauma/healing,negative,"[""sadness"", ""frustration""]",vulnerability/healing,social critique,1,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""normal"", ""horrible"", ""living""]","The text critiques the normalization of trauma in family life, highlighting the negative emotional impact."
content,Kenya,RIX-015,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango introduces the clinical concept of complex post-traumatic stress to explain his childhood],I went through something in Psychology is called complex post-traumatic stress which is experiencing stress on different layers. So on top of the witnessing violence between my parents there was violence that was also being meted upon me there was violence I was seeing in my neighborhood because especially in huruma I witnessed so many young people being gunned down by police point blank in the evenings so you'd hear a gunshot at 6:00 p.m. man you know and some dude has just gone like that and his meat is just all over the place. The trauma of poverty all that chaos growing up in.,"[""mental health/trauma/healing"", ""violence/abuse/accountability"", ""family/fatherhood/parenting""]",mental health/trauma/healing,negative,"[""fear"", ""sadness"", ""anger""]",vulnerability/healing,personal story,1,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""complex post-traumatic stress"", ""violence"", ""trauma"", ""poverty""]","The content discusses personal trauma and violence experienced in childhood, focusing on mental health and the impact of violence."
content,Kenya,RIX-016,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes how Nairobi itself triggers him decades later],I still have very active poverty trauma. Every time I look at this city I just see problems. They are parts of this city that when I go to my blood just go cold. I remember them very very clearly like Mudura I don't like going there Mudura just reminds me of utter powerlessness and poverty. There is a bridge that's going over I don't like going to that bridge. Yes that bridge reminds me of very dark dark times. There are the times of no food there the times of no school fees no pocket money despair apathy despair sickness it's just bad bad bad.,"[""mental health/trauma/healing"", ""violence/abuse/accountability""]",mental health/trauma/healing,negative,"[""fear"", ""sadness"", ""despair""]",vulnerability/healing,personal story,1,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""poverty"", ""trauma"", ""powerlessness"", ""despair""]","The content reflects on personal trauma related to poverty, emphasizing negative emotions and experiences associated with specific locations in Nairobi."
content,Kenya,RIX-017,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango explains why poverty-trauma stays with men into adulthood],Mick was talking about reparenting myself and I think I need to reparent myself again about poverty because if you grow up without anything. If you are if you a friend of the bottle then whatever you do in life whether you are whatever maybe if you're a billionaire or a millionaire but yes you just remain as a family no nothing so you just grow up in lack everyday lack everyday lack everyday lack you come to the city. And I think if you get into your adulthood without luck it destroys you because you have embodied it you know it's in your body now you actually believe this is your identity. Sometimes even you can get a lot of money and it's sits in the bank and you're afraid of using it. Or you squander it because you don't believe you you you're supposed to have money.,"[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose"", ""money/status/provision""]",mental health/trauma/healing,negative,"[""fear"", ""sadness""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""liberty/oppression""]","[""poverty"", ""reparenting"", ""identity"", ""money""]","The content discusses the impact of poverty on mental health and identity, emphasizing the need for healing and self-improvement."
content,Kenya,RIX-018,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango recounts the 2015 confrontation he organized with his parents — and the pivotal statement his father made],When it was my turn to talk to dad he told me things that I I think also even retraumatized me. But then as we were talking this man asked me a question that also changed my life he said I don't come to you with my problems because you think I'm weak you know and that's a very powerful statement to come from any man and that's that line sank into me like wine my friend. This man who I've lived with 25 years first of all what makes him think that I don't already know his weaknesses you see. What is this idea of him showing up as a perfect parent and he's already making the mistakes and we are suffering from them is this denial or what's going on around here?,"[""mental health/trauma/healing"", ""gender roles and expectations"", ""family/fatherhood/parenting""]",mental health/trauma/healing,mixed,"[""confusion"", ""hurt""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""traumatized"", ""weakness"", ""parenting"", ""denial""]",The content reflects on personal trauma and the expectations of masculinity in the context of family dynamics.
content,Kenya,RIX-019,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Continuation — Onyango describes the cognitive shift after his father's confession],And it's the first time that I recognize this man is also not okay there's something else going on and I stop looking at him barely as my dad and start seeing him as another wounded child just as I was wounded you know. And my quest changes because now I stop centering him in my life because always it was about oh dad we need you to change we need you to do that blah blah blah. And I realized it's not going to happen any soon I need to find other ways to understand what this life is all about.,"[""mental health/trauma/healing"", ""family/fatherhood/parenting"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,positive,"[""understanding"", ""compassion""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""wounded"", ""understand"", ""change""]",The content reflects a personal journey of understanding mental health and healing within the context of family relationships.
content,Kenya,RIX-020,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes his first depression at 16 and how nobody recognized the symptoms],What happened at when I was 10 caught up with me by the time I was 15 I started experiencing depression in high school school and uh eventually I was expelled from school had all these withdrawal symptoms I don't want to read I I didn't wash my clothes I'd steal people's clothes steal people's monies my life was just in despair at 16 years old. Now I was running away from home I became a street boy at some point I was hanging out on Koinange streets here with sex workers I was shoplifting from supermarkets. But all these were symptoms of what's going on at home and nobody was picking this up. So you're being seen as a problematic adolescent but really these are symptoms of trauma that you you are exhibiting in your behavior and your brain is actually suffering but nobody seems to understand the language of this thing.,"[""mental health/trauma/healing"", ""family/fatherhood/parenting"", ""gender roles and expectations""]",mental health/trauma/healing,negative,"[""despair"", ""confusion"", ""isolation""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""depression"", ""trauma"", ""withdrawal"", ""symptoms"", ""adolescent""]","The content discusses personal experiences with depression and trauma, highlighting the lack of understanding from others, which aligns with themes of mental health and family dynamics."
content,Kenya,RIX-021,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes coming out publicly about his depression in 2017],This the second time I fell into depression and I was also suicidal I was very public about it 2017 early 2017 and that also really changed my life because being a Storyteller being an artist you've known me all these years now I started ping uh putting things together and speaking up about it. There are so many people who reached out to me saying they were going through the same things they feeling depressive they were feeling social and I was like how come I don't hear about this thing in everyday life nobody's talking about it.,"[""mental health/trauma/healing"", ""relationships/love/loyalty""]",mental health/trauma/healing,positive,"[""vulnerability"", ""hope""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""none/unclear""]","[""depression"", ""suicidal"", ""storyteller"", ""artist""]","The content focuses on personal experiences with depression and the importance of discussing mental health, reflecting a positive sentiment and vulnerability."
content,Kenya,RIX-022,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango explains the technical definition of trauma],Essentially trauma is actually very wide but at the very basic level it is anything that happens to your body or your mind that destabilizes your normal body functioning. Trauma comes from the Greek word for wound. So that's where medicine got the word Trauma from it means wound. So a wound definitely means there has been a destabilization of normal function because something has been opened up some wires have been cut or there's overexposure to danger.,"[""mental health/trauma/healing""]",mental health/trauma/healing,neutral,[],vulnerability/healing,informational,0,0,none,not present,"[""none/unclear""]","[""trauma"", ""wound"", ""destabilization"", ""function""]","The content provides an informational explanation of trauma, focusing on its definition and implications without any negative framing or emotional charge."
content,Kenya,RIX-023,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango lists the different forms of trauma],On very different levels there is either physical trauma there is either religious trauma or emotional trauma Financial trauma um sexual abuse trauma um child neglect all those things are forms of trauma.,"[""mental health/trauma/healing""]",mental health/trauma/healing,neutral,[],vulnerability/healing,informational,0,0,none,not present,"[""none/unclear""]","[""physical trauma"", ""religious trauma"", ""emotional trauma"", ""financial trauma"", ""sexual abuse trauma"", ""child neglect""]",The content discusses various forms of trauma without any negative sentiment or misogynistic framing.
content,Kenya,RIX-024,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango explains what PTSD specifically means],With post-traumatic stress really it's the long-term effects the adverse effects of experiencing very difficult situations when you where you felt helpless and you were exposed to danger and shock but did not have the proper support. So even these nightmares that you talk about and dreams that and fear of going to certain places all those are forms of PTSD that never got the support to heal.,"[""mental health/trauma/healing""]",mental health/trauma/healing,neutral,[],vulnerability/healing,informational,0,0,none,not present,"[""care/harm""]","[""PTSD"", ""support"", ""healing"", ""nightmares"", ""danger""]","The content discusses the effects of PTSD and the lack of support for healing, focusing on mental health and vulnerability."
content,Kenya,RIX-025,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango walks through the three brain regions to explain how trauma changes male behavior],The brain has many parts but for the purpose of the conversation I will speak about three major ones so you have something called the hindbrain the midbrain and the forebrain. The hindbrain is also sometimes called The Reptilian Brain it's the lowest part of the human brain. The mid brain is where we process our emotions and we store our memories. The for brain is also called the the thinking brain or the frontal lobe so the frontal lobe usually it takes the most energy in your brain and in that part of the brain you use it to to solve problems to create.,"[""mental health/trauma/healing""]",mental health/trauma/healing,neutral,[],vulnerability/healing,informational,0,0,none,not present,"[""none/unclear""]","[""hindbrain"", ""midbrain"", ""forebrain"", ""emotions"", ""memories"", ""problem-solving""]","The content discusses brain functions related to emotions and trauma, aligning with mental health themes."
content,Kenya,RIX-026,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,"[Onyango explains how chronic stress in men leads to seemingly senseless violence — the bus-stop killings, the Manchester United fights]",When you are Overexposed to trauma it means you are constantly on survival mode trying to protect yourself. That means the part of your brain that is essential for your survival is overworking which is The Reptilian Brain. It is overworking that means the other parts of the brain's energy won't be going there for you to use. So they are affected that means you can't process emotions properly and you can't think rationally. You've heard stories of an Ana leuka or you hear stories on the news somebody killed the other because of some 20 Shilling debt or Manchester United Arsenal game. They can't think rationally they've been overexposed to to stress.,"[""mental health/trauma/healing"", ""violence/abuse/accountability""]",mental health/trauma/healing,negative,"[""fear"", ""frustration""]",vulnerability/healing,social critique,1,0,none,not present,"[""care/harm"", ""fairness/cheating""]","[""trauma"", ""survival mode"", ""stress"", ""rational thinking""]","The content discusses the impact of trauma on men's behavior, highlighting the connection between chronic stress and violence, which aligns with themes of mental health and accountability."
content,Kenya,RIX-027,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango explains why our culture misreads adolescent boys' behavior],Children at that age when they are overly traumatized sometimes experience withdrawal symptoms or they get into drugs or they act out a lot at home whatever and it happens a lot during this adolescent age this is when some of these things start manifesting but our culture takes it as this is just adolescence. We often need to remember that when a child is developing especially when when they get to from 10 age of 10 to like around 16 17 those are very critical years the first 25 years of a human being's life are extremely essential because this is the time their brains are developing their core values are developing their personalities are developing.,"[""mental health/trauma/healing"", ""gender roles and expectations"", ""family/fatherhood/parenting""]",mental health/trauma/healing,neutral,[],vulnerability/healing,social critique,0,0,none,not present,"[""care/harm"", ""fairness/cheating""]","[""adolescence"", ""trauma"", ""withdrawal"", ""development"", ""core values""]","The content discusses the impact of trauma on adolescent boys and critiques cultural perceptions of their behavior, focusing on mental health and development."
content,Kenya,RIX-028,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango on what parents should do to recognize trauma in their children],I think the first point is for the parents themselves to look at themselves first because I think many of the times we are living in a very complex country. This is a country that has had historical trauma that we don't talk about we have a lot of religious trauma that we don't talk about that we bring home to our kids we have a lot of poverty trauma right that we are every day running away from. We have a lot of gender trauma yeah uh who men are supposed to be women children all that stuff going on queer people. So in most cases parents are first the ones who are traumatized before they can start looking out for trauma in their children they need to first look at themselves and that's one of the tenets of conscious parenting.,"[""mental health/trauma/healing"", ""family/fatherhood/parenting"", ""gender roles and expectations""]",mental health/trauma/healing,positive,"[""concern"", ""empathy""]",vulnerability/healing,advice/prescription,0,0,none,neutral/mixed,"[""care/harm"", ""loyalty/betrayal""]","[""trauma"", ""parents"", ""conscious parenting""]","The content emphasizes the importance of parents recognizing their own trauma to better support their children, aligning with themes of mental health and family dynamics."
content,Kenya,RIX-029,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango compares Kenyan parenting to colonial mindset],Many times we look at children as subjects in this country the same way the colonial white people looked at Africans as subjects right so if you are looking at your child and you're thinking this is somebody who is subject to me and not a full human being then chances are higher that you're going to abuse this person and that's what happens a lot.,"[""family/fatherhood/parenting"", ""violence/abuse/accountability"", ""mental health/trauma/healing""]",violence/abuse/accountability,negative,"[""anger"", ""sadness""]",family/fatherhood,social critique,2,0,none,not present,"[""care/harm"", ""authority/subversion""]","[""colonial mindset"", ""abuse"", ""parenting""]","The content critiques the harmful mindset in parenting that parallels colonial attitudes, highlighting the potential for abuse."
content,Kenya,RIX-030,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes the typical signs of trauma in children],In children many times when you feel the space at home is contracted and you cannot speak you cannot express yourself what children do is is they shut down they withdraw they look for attention in other ways. So you might find a child doing something so silly and it acts the parents so much and what the parent again does is to beat but what the child is saying in other ways is I need you to see me. Children want to be seen. Sometimes children will get into Bad Company so that they can get that sense of belonging that is not there at home or in their neighborhood or in their culture.,"[""mental health/trauma/healing"", ""family/fatherhood/parenting"", ""relationships/love/loyalty""]",mental health/trauma/healing,neutral,"[""sadness"", ""longing""]",vulnerability/healing,informational,0,0,none,not present,"[""care/harm""]","[""trauma"", ""withdraw"", ""attention"", ""belonging""]","The content discusses the signs of trauma in children and emphasizes the need for attention and belonging, aligning with themes of mental health and family dynamics."
content,Kenya,RIX-031,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango explains why there isn't one way to heal from trauma],I am really not of the idea that there is one way of dealing with trauma because you know even here we can be in one house we can may have grown up in one house but the way I respond to trauma is different from way the way you will respond to trauma. We have very different responses to to what's going on in in the moment right that also means getting out of this thing in terms of healing also looks different from for different people. So there are people who might need medical therapy because of how sometimes damaged the brain is there are people who might need just to talk about it which is talk therapy.,"[""mental health/trauma/healing""]",mental health/trauma/healing,positive,[],vulnerability/healing,informational,0,0,none,not present,"[""care/harm""]","[""trauma"", ""healing"", ""responses"", ""therapy""]","The content discusses the varied responses to trauma and emphasizes the importance of individual healing processes, aligning with themes of mental health and vulnerability."
content,Kenya,RIX-032,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango describes somatic and body-based therapies],There is something else called somatic experiencing and this is what is mostly recommended for people who've gone through a lot of PTSD where your body is involved in the process of the healing so you take up exercises physical exercises you take up dancing you take up something you call body mapping you take up hiking you take up activities that engage your body.,"[""mental health/trauma/healing""]",mental health/trauma/healing,positive,[],vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm""]","[""somatic experiencing"", ""PTSD"", ""healing"", ""physical exercises"", ""body mapping"", ""hiking""]","The content focuses on healing methods for PTSD, emphasizing body involvement and positive activities."
content,Kenya,RIX-033,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango's central thesis on what works most],But also I must emphasize this the most sustainable tool is community community is the most sustainable tool for trauma healing because outside therapy outside all these other interventions if you do not have community to share life with it becomes very difficult to heal in isolation. The reason they exist is so that you can connect back with your body and your nervous system so that you can be able to open up again and love and share and intimate with other people because our nervous system which is the parts that are also diely affected by trauma cannot connect when they are closed up.,"[""mental health/trauma/healing"", ""relationships/love/loyalty"", ""family/fatherhood/parenting""]",mental health/trauma/healing,positive,"[""hopeful""]",vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm""]","[""community"", ""trauma healing"", ""connection"", ""nervous system""]","The content emphasizes the importance of community in healing trauma, reflecting a positive and vulnerable approach to mental health."
content,Kenya,RIX-034,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango on how trauma manifests in male workplace behavior],Take a very simple example in the workplace if your boss was somebody who had a difficult childhood in the sense that they were violated and they were not paid enough emotional attention they could be people who want to show how big they are. You ever met these people who always want to prove how big they are. Those guys those are that's a trauma response.,"[""mental health/trauma/healing"", ""gender roles and expectations""]",mental health/trauma/healing,neutral,[],vulnerability/healing,social critique,0,0,none,not present,"[""care/harm""]","[""workplace"", ""trauma"", ""childhood"", ""emotional attention""]","The content discusses how trauma can influence behavior in the workplace, focusing on emotional responses rather than promoting harmful stereotypes."
content,Kenya,RIX-035,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango lists adult masculine trauma symptoms],Others are violent to their partners and their children. They're shouting all the time which is different from what you do. Others don't communicate they don't know how to communicate their feelings why because when they were younger it was not they were never given space to express themselves so they don't know how to express their needs they don't know how to express their emotions. Another way is self-sabotage that you don't believe you can be in the places that you're in. Some people don't know how to take care of themselves some people overshop some people overdrink some people over rely on drugs and substances to get by — anything that gives them dopamine.,"[""mental health/trauma/healing"", ""violence/abuse/accountability""]",mental health/trauma/healing,neutral,[],vulnerability/healing,informational,1,0,none,not present,"[""care/harm"", ""fairness/cheating""]","[""violence"", ""communication"", ""self-sabotage"", ""emotions"", ""substances""]","The content discusses the impact of trauma on behavior and relationships, focusing on mental health and accountability."
content,Kenya,RIX-036,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango explains how he and Jagero playing FIFA together is itself a coping mechanism],When we are meeting up for FIFA the fight is in the pitch you know I'm not coming to fight Jagero. I'm coming to release pressure to keep my head level. I am getting off some steam from my body and that is a very important component of of coping right because connection is the best way to cope because you go back to yourself you come back to an equilibrium.,"[""mental health/trauma/healing"", ""relationships/love/loyalty""]",mental health/trauma/healing,positive,"[""relief"", ""connection""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""FIFA"", ""coping"", ""connection"", ""equilibrium""]","The content focuses on using FIFA as a coping mechanism, emphasizing mental health and the importance of connection, which aligns with vulnerability and healing themes."
content,Kenya,RIX-037,Onyango Otieno (Rixpoet),Onyango Otieno (Rixpoet),progressive / vulnerability-forward,YouTube (DWJ Dialogues with Jagero),,Podcast Interview,[Onyango on creating anti-traumatic spaces in everyday relationships],I often advocate for authenticity in individualism right where if I know I can be who I am and you let me be that we will have very limited space to traumatize each other. If all the time you I would shut you down when you're about to score a goal I tell you ah keep quiet don't talk don't shout then you learn that oh I cannot be myself around this person then you shut down. Now imagine that happening to a child what does that do they actually believe that's all their reach to life it's to keep quiet.,"[""relationships/love/loyalty"", ""mental health/trauma/healing"", ""family/fatherhood/parenting""]",mental health/trauma/healing,positive,"[""hopeful""]",vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""authenticity"", ""individualism"", ""traumatize"", ""child"", ""self""]","The content emphasizes the importance of authenticity and the impact of trauma in relationships, particularly in the context of parenting."
