Flag type,Detail
human,"1954098073262522452 Q7: normalized label/separator/case: raw=""Men need to dominate/lead, Men need to be fully self-reliant, Men are disadvantaged/victims"" -> ""Men need to dominate/lead, Men are disadvantaged/victims, Men need to be fully self-reliant"""
human,"1954196373861003731 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Friends/socializing"" -> ""Friends/socializing, Gender issues"""
human,"1954196373861003731 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Status seeking, Information seeking"" -> ""Information seeking, Self expression/identity construction, Status seeking"""
human,"1954196373861003731 Q7: normalized label/separator/case: raw=""Men need to be fully self-reliant, Men need to not show emotions, Men need to provide/succeed"" -> ""Men need to provide/succeed, Men need to be fully self-reliant, Men need to not show emotions"""
human,"1962749588588187787 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Status seeking, Information seeking"" -> ""Information seeking, Self expression/identity construction, Status seeking"""
human,"1962749588588187787 Q10: normalized label/separator/case: raw=""Advice/instruction, Motivational speech, Commentary/opinion"" -> ""Advice/instruction, Commentary/opinion, Motivational speech"""
human,"1969363662281314544 Q8: normalized label/separator/case: raw=""Economic/status pressure, Mental health/emotional struggle, Women/Feminism"" -> ""Women/feminism, Economic/status pressure, Mental health/emotional struggle"""
human,"1969363662281314544 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Status seeking, Information seeking"" -> ""Information seeking, Self expression/identity construction, Status seeking"""
human,"1969363662281314544 Q3: normalized label/separator/case: raw=""Commentary/reaction content, Motivational/self-help content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"1969363662281314544 Q13: normalized label/separator/case: raw=""References data, Presented as common sense, Anecdotal examples"" -> ""Anecdotal examples, Presented as common sense, References data"""
human,"1969363662281314544 Q7: normalized label/separator/case: raw=""Men need to be fully self-reliant, Men are disadvantaged/victims, Men need to not show emotions, Men need to provide/succeed"" -> ""Men need to provide/succeed, Men are disadvantaged/victims, Men need to be fully self-reliant, Men need to not show emotions"""
human,"1969363662281314544 Q10: normalized label/separator/case: raw=""Advice/instruction, News/telling facts, Commentary/opinion"" -> ""Advice/instruction, Commentary/opinion, News/telling facts"""
human,"1969363662281314544 Q12: normalized label/separator/case: raw=""Facts/statistics, Generalizations about men/women, Cultural/social observations"" -> ""Generalizations about men/women, Cultural/social observations, Facts/statistics"""
human,"2039762097798520881 Q9: normalized label/separator/case: raw=""Assert dominance/control, More equality/respect for men, More self-discipline/fitness"" -> ""Assert dominance/control, More self-discipline/fitness, More equality/respect for men"""
human,"2039762097798520881 Q7: normalized label/separator/case: raw=""Men need to be fully self-reliant, Men need to improve themselves, Men are disadvantaged/victims"" -> ""Men are disadvantaged/victims, Men need to improve themselves, Men need to be fully self-reliant"""
human,"2039762097798520881 Q12: normalized label/separator/case: raw=""Stories about men/women, Generalizations about men/women"" -> ""Generalizations about men/women, Stories about men/women"""
human,"2040368802852962653 Q2: normalized label/separator/case: raw=""Dating/marriage, Family/children, Gender issues, e.g. equality"" -> ""Dating/marriage, Family/children, Gender issues"""
human,"2040368802852962653 Q7: normalized label/separator/case: raw=""Men need to be dominant/lead, Men are disadvantaged/victims, Men need to provide/succeed"" -> ""Men need to provide/succeed, Men are disadvantaged/victims"""
human,"2046177081617166630 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Dating/marriage, Mental health, Social issues, e.g. corruption"" -> ""Dating/marriage, Mental health, Gender issues, Social issues"""
human,"2046177081617166630 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Connection/social interaction, Status seeking"" -> ""Connection/social interaction, Self expression/identity construction, Status seeking"""
human,"2046177081617166630 Q7: normalized label/separator/case: raw=""Men need to dominate/lead, Men need to be fully self-reliant, Men need to not show emotions, Men need to improve themselves, Other"" -> ""Men need to dominate/lead, Men need to improve themselves, Men need to be fully self-reliant, Men need to not show emotions, Other"""
human,"2046177081617166630 Q10: normalized label/separator/case: raw=""Advice/instruction, Commentary/opinion, Personal story"" -> ""Advice/instruction, Personal story, Commentary/opinion"""
human,"2046177081617166630 Q12: normalized label/separator/case: raw=""Personal experience, Stories about men/women, Generalizations about men/women"" -> ""Generalizations about men/women, Personal experience, Stories about men/women"""
human,"KIBE-006 Q8: normalized label/separator/case: raw=""Men's behavior, Global political/social/cultural problems"" -> ""Global political/social/cultural problems, Men's behavior"""
human,"KIBE-006 Q2: normalized label/separator/case: raw=""Social issues, e.g. corruption"" -> ""Social issues"""
human,"KIBE-006 Q9: normalized label/separator/case: raw=""More equality/respect for men, Social or political change"" -> ""Social or political change, More equality/respect for men"""
human,"EDDY-057 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, Men's behavior"" -> ""Men's behavior, Mental health/emotional struggle"""
human,"EDDY-057 Q2: normalized label/separator/case: raw=""Mental health, Friends/socializing, Gender issues, e.g. equality"" -> ""Friends/socializing, Mental health, Gender issues"""
human,"EDDY-057 Q3: normalized label/separator/case: raw=""Commentary/reaction content, Motivational/self-help content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"EDDY-057 Q13: normalized label/separator/case: raw=""Presented as common sense, Anecdotal examples"" -> ""Anecdotal examples, Presented as common sense"""
human,"EDDY-057 Q7: normalized label/separator/case: raw=""Men need to be emotionally open, Men need to build community"" -> ""Men need to be emotionally open"""
human,"EDDY-057 Q10: normalized label/separator/case: raw=""Commentary/opinion, Motivational speech, Personal story"" -> ""Personal story, Commentary/opinion, Motivational speech"""
human,"EDDY-057 Q12: normalized label/separator/case: raw=""Cultural/social observations, Personal experience"" -> ""Personal experience, Cultural/social observations"""
human,"RIX-066 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, Family/children"" -> ""Mental health/emotional struggle"""
human,"RIX-066 Q2: normalized label/separator/case: raw=""Mental health, Social issues, e.g. corruption"" -> ""Mental health, Social issues"""
human,"RIX-066 Q13: normalized label/separator/case: raw=""References data, Presented as common sense"" -> ""Presented as common sense, References data"""
human,"RIX-066 Q12: normalized label/separator/case: raw=""Facts/statistics, Cultural/social observations"" -> ""Cultural/social observations, Facts/statistics"""
human,"EDDY-001 Q2: normalized label/separator/case: raw=""Money/status, Mental health, Family/children"" -> ""Family/children, Money/status, Mental health"""
human,"EDDY-027 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, Men’s behavior, General political/social/cultural problems, Kenyan or Nigerian political/social problems"" -> ""Kenyan or Nigerian political/social problems, Men's behavior, Mental health/emotional struggle"""
human,"EDDY-027 Q2: normalized label/separator/case: raw=""Mental health, Gender issues, e.g. equality, Friends/socializing"" -> ""Friends/socializing, Mental health, Gender issues"""
human,"EDDY-027 Q12: normalized label/separator/case: raw=""Cultural/social observations, Generalizations about men/women"" -> ""Generalizations about men/women, Cultural/social observations"""
human,"EDDY-032 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, General political/social/cultural problems"" -> ""Mental health/emotional struggle"""
human,"EDDY-032 Q2: normalized label/separator/case: raw=""Mental health, Gender issues, e.g. equality"" -> ""Mental health, Gender issues"""
human,"EDDY-032 Q12: normalized label/separator/case: raw=""Cultural/social observations, Generalizations about men/women"" -> ""Generalizations about men/women, Cultural/social observations"""
human,"EDDY-060 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, Men’s behavior"" -> ""Men's behavior, Mental health/emotional struggle"""
human,"EDDY-060 Q2: normalized label/separator/case: raw=""Friends/socializing, Mental health, Gender issues, e.g. equality"" -> ""Friends/socializing, Mental health, Gender issues"""
human,"RIX-004 Q8: normalized label/separator/case: raw=""Men’s behavior, Mental health/emotional struggle, Kenyan or Nigerian political/social problems"" -> ""Kenyan or Nigerian political/social problems, Men's behavior, Mental health/emotional struggle"""
human,"RIX-004 Q2: normalized label/separator/case: raw=""Friends/socializing, Mental health, Gender issues, e.g. equality"" -> ""Friends/socializing, Mental health, Gender issues"""
human,"RIX-004 Q9: normalized label/separator/case: raw=""Building community, More emotional growth/healing"" -> ""More emotional growth/healing, Building community"""
human,"RIX-042 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, Women/feminism, Men’s behavior"" -> ""Women/feminism, Men's behavior, Mental health/emotional struggle"""
human,"RIX-042 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health, Dating/marriage"" -> ""Dating/marriage, Mental health, Gender issues"""
human,"RIX-073 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, Kenyan or Nigerian political/social problems, General political/social/cultural problems, Men’s behavior"" -> ""Kenyan or Nigerian political/social problems, Men's behavior, Mental health/emotional struggle"""
human,"RIX-073 Q2: normalized label/separator/case: raw=""Family/children, Mental health, Social issues, e.g. corruption"" -> ""Family/children, Mental health, Social issues"""
human,"RIX-073 Q10: normalized label/separator/case: raw=""Personal story, News/telling facts, Commentary/opinion"" -> ""Personal story, Commentary/opinion, News/telling facts"""
human,"RIX-077 Q2: normalized label/separator/case: raw=""Family/children, Mental health, Social issues, e.g. corruption"" -> ""Family/children, Mental health, Social issues"""
human,"RIX-087 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, General political/social/cultural problems, Men’s behavior"" -> ""Men's behavior, Mental health/emotional struggle"""
human,"RIX-087 Q2: normalized label/separator/case: raw=""Mental health, Social Issues, e.g. corruption, Gender issues, e.g. equality, Religion/morality"" -> ""Mental health, Gender issues, Social issues, Religion/morality"""
human,"RIX-087 Q9: normalized label/separator/case: raw=""Building community, More emotional growth/healing"" -> ""More emotional growth/healing, Building community"""
human,"PHIL-022 Q8: normalized label/separator/case: raw=""Kenyan or Nigerian political/social problems, General political/social/cultural problems"" -> ""Kenyan or Nigerian political/social problems"""
human,"PHIL-022 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Social issues, e.g. corruption"" -> ""Gender issues, Social issues"""
human,"PHIL-022 Q13: normalized label/separator/case: raw=""Presented as common sense, No justification, Other"" -> ""No justification, Presented as common sense, Other"""
human,"PHIL-024 Q8: normalized label/separator/case: raw=""Kenyan or Nigerian political/social problems, Women/feminism, General political/social/cultural problems"" -> ""Kenyan or Nigerian political/social problems, Women/feminism"""
human,"PHIL-024 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Social issues, e.g. corruption, Family/children"" -> ""Family/children, Gender issues, Social issues"""
human,"PHIL-024 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"PHIL-034 Q8: normalized label/separator/case: raw=""Women/feminism, General political/social/cultural problems"" -> ""Women/feminism"""
human,"PHIL-034 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Social issues, e.g. corruption"" -> ""Gender issues, Social issues"""
human,"PHIL-041 Q8: normalized label/separator/case: raw=""Kenyan or Nigerian political/social problems, General political/social/cultural problems"" -> ""Kenyan or Nigerian political/social problems"""
human,"PHIL-041 Q2: normalized label/separator/case: raw=""Social issues, e.g. corruption"" -> ""Social issues"""
human,"PHIL-041 Q10: normalized label/separator/case: raw=""Commentary/opinion, Advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"KIBE-003 Q2: normalized label/separator/case: raw=""Dating/marriage, Gender issues, e.g. equality"" -> ""Dating/marriage, Gender issues"""
human,"KIBE-003 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Entertainment/escapism, Status seeking"" -> ""Entertainment/escapism, Self expression/identity construction, Status seeking"""
human,"KIBE-003 Q13: normalized label/separator/case: raw=""Presented as common sense, No justification"" -> ""No justification, Presented as common sense"""
human,"KIBE-008 Q2: normalized label/separator/case: raw=""Dating/marriage, Money/status, Gender issues, e.g. equality, Religion/morality"" -> ""Dating/marriage, Money/status, Gender issues, Religion/morality"""
human,"KIBE-009 Q2: normalized label/separator/case: raw=""Money/status, Gender issues, Friends/socializing, Dating/marriage"" -> ""Dating/marriage, Friends/socializing, Money/status, Gender issues"""
human,"KIBE-009 Q9: normalized label/separator/case: raw=""More self-discipline/fitness, More wealth/status, Other"" -> ""More wealth/status, More self-discipline/fitness, Other"""
human,"KIBE-009 Q11: normalized label/separator/case: raw=""Self expression/identity construction, Status seeking, Entertainment/escapism"" -> ""Entertainment/escapism, Self expression/identity construction, Status seeking"""
human,"KIBE-009 Q3: normalized label/separator/case: raw=""Interview/conversational content, Commentary/reaction content, Motivational/self-help content"" -> ""Interview/conversational content, Motivational/self-help content, Commentary/reaction content"""
human,"KIBE-028 Q2: normalized label/separator/case: raw=""Gender issues, Religion/morality, Dating/marriage"" -> ""Dating/marriage, Gender issues, Religion/morality"""
human,"KIBE-028 Q11: normalized label/separator/case: raw=""Entertainment/escapism, Status seeking, Self expression/identity construction"" -> ""Entertainment/escapism, Self expression/identity construction, Status seeking"""
human,"KIBE-028 Q13: normalized label/separator/case: raw=""References religion/tradition, Presented as common sense"" -> ""Presented as common sense, References religion/tradition"""
human,"KIBE-028 Q12: normalized label/separator/case: raw=""Moral/religious claims, Generalizations about men/women"" -> ""Generalizations about men/women, Moral/religious claims"""
human,"KIBE-048 Q8: normalized label/separator/case: raw=""Women/feminism, General political/social/cultural problems, Other"" -> ""Women/feminism, Other"""
human,"KIBE-048 Q2: normalized label/separator/case: raw=""Gender issues, Dating/marriage, Social issues, Money/status"" -> ""Dating/marriage, Money/status, Gender issues, Social issues"""
human,"KIBE-048 Q11: normalized label/separator/case: raw=""Entertainment/escapism, Status seeking, Self expression/identity construction"" -> ""Entertainment/escapism, Self expression/identity construction, Status seeking"""
human,"KIBE-048 Q1A: normalized label/separator/case: raw=""Shares something surprising, Shares something sexual"" -> ""Shares something sexual, Shares something surprising"""
human,"KIBE-063 Q2: normalized label/separator/case: raw=""Dating/marriage, Gender issues, Family/children, Religion/morality"" -> ""Dating/marriage, Family/children, Gender issues, Religion/morality"""
human,"KIBE-063 Q11: normalized label/separator/case: raw=""Entertainment/escapism, Status seeking, Self expression/identity construction"" -> ""Entertainment/escapism, Self expression/identity construction, Status seeking"""
human,"KIBE-080 Q2: normalized label/separator/case: raw=""Dating/marriage, Gender issues, Family/children, Religion/morality"" -> ""Dating/marriage, Family/children, Gender issues, Religion/morality"""
human,"KIBE-080 Q11: normalized label/separator/case: raw=""Entertainment/escapism, Status seeking, Self expression/identity construction"" -> ""Entertainment/escapism, Self expression/identity construction, Status seeking"""
human,"KIBE-080 Q13: normalized label/separator/case: raw=""References religion/tradition, Presented as common sense"" -> ""Presented as common sense, References religion/tradition"""
human,"KIBE-080 Q12: normalized label/separator/case: raw=""Generalizations about men/women, Moral/religious claims, Cultural/social observations"" -> ""Generalizations about men/women, Cultural/social observations, Moral/religious claims"""
human,"KIBE-082 Q11: normalized label/separator/case: raw=""Entertainment/escapism, Status seeking, Self expression/identity construction"" -> ""Entertainment/escapism, Self expression/identity construction, Status seeking"""
human,"1951644655797362727 Q2: normalized label/separator/case: raw=""Gender issues, Dating/marriage, Mental health"" -> ""Dating/marriage, Mental health, Gender issues"""
human,"1951644655797362727 Q11: normalized label/separator/case: raw=""Information seeking, Status seeking, Self expression/identity construction"" -> ""Information seeking, Self expression/identity construction, Status seeking"""
human,"1951644655797362727 Q7: normalized label/separator/case: raw=""Men need to not show emotions, Men need to dominate/lead"" -> ""Men need to dominate/lead, Men need to not show emotions"""
human,"1954120691185250750 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism"" -> ""Women/feminism, Men's behavior"""
human,"1954120691185250750 Q2: normalized label/separator/case: raw=""Gender issues, Dating/marriage"" -> ""Dating/marriage, Gender issues"""
human,"1969310581648654500 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism, Other"" -> ""Women/feminism, Men's behavior, Other"""
human,"1969310581648654500 Q2: normalized label/separator/case: raw=""Gender issues, Dating/marriage, Religion/morality"" -> ""Dating/marriage, Gender issues, Religion/morality"""
human,"1969310581648654500 Q1A: normalized label/separator/case: raw=""Other, Shares something surprising"" -> ""Shares something surprising, Other"""
human,"1969310581648654500 Q13: normalized label/separator/case: raw=""References religion/tradition, Presented as common sense"" -> ""Presented as common sense, References religion/tradition"""
human,"2035265419842359420 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism"" -> ""Women/feminism, Men's behavior"""
human,"2035265419842359420 Q2: normalized label/separator/case: raw=""Gender issues, Dating/marriage, Religion/morality"" -> ""Dating/marriage, Gender issues, Religion/morality"""
human,"2035265419842359420 Q13: normalized label/separator/case: raw=""References religion/tradition, Presented as common sense"" -> ""Presented as common sense, References religion/tradition"""
human,"2039621704155045988 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism, Mental health/emotional struggle, Other"" -> ""Women/feminism, Men's behavior, Mental health/emotional struggle, Other"""
human,"2039621704155045988 Q2: normalized label/separator/case: raw=""Gender issues, Dating/marriage, Religion/morality, Social issues, Mental health"" -> ""Dating/marriage, Mental health, Gender issues, Social issues, Religion/morality"""
human,"2039621704155045988 Q1A: normalized label/separator/case: raw=""Use of all CAPS, Uses a news headline or social media trend as opener, Shares something surprising, Shares something sexual"" -> ""Use of all CAPS, Shares something sexual, Shares something surprising, Uses a news headline or social media trend as opener"""
human,"2039621704155045988 Q13: normalized label/separator/case: raw=""Presented as common sense, No justification, References data"" -> ""No justification, Presented as common sense, References data"""
human,"2039621704155045988 Q12: normalized label/separator/case: raw=""Generalizations about men/women, Moral/religious claims, Facts/statistics, Cultural/social observations"" -> ""Generalizations about men/women, Cultural/social observations, Facts/statistics, Moral/religious claims"""
human,"2040474881876267501 Q2: normalized label/separator/case: raw=""Money/status, Dating/marriage, Gender issues"" -> ""Dating/marriage, Money/status, Gender issues"""
human,"2040474881876267501 Q13: normalized label/separator/case: raw=""Presented as common sense, No justification"" -> ""No justification, Presented as common sense"""
human,"2047918654382112910 Q2: normalized label/separator/case: raw=""Religion/morality, Dating/marriage, Gender issues"" -> ""Dating/marriage, Gender issues, Religion/morality"""
human,"2047918654382112910 Q13: normalized label/separator/case: raw=""Presented as common sense, No justification"" -> ""No justification, Presented as common sense"""
human,"2047918654382112910 Q7: normalized label/separator/case: raw=""Men need to dominate/lead, Men need to not show emotion, Other"" -> ""Men need to dominate/lead, Other"""
human,"2048024608431804592 Q2: normalized label/separator/case: raw=""Religion/morality, Dating/marriage, Gender issues, Family/children"" -> ""Dating/marriage, Family/children, Gender issues, Religion/morality"""
human,"2048024608431804592 Q12: normalized label/separator/case: raw=""Moral/religious claims, Generalizations about men/women"" -> ""Generalizations about men/women, Moral/religious claims"""
human,"1951636792672661776 Q8: normalized label/separator/case: raw=""Women/feminism, General political/social/cultural problems, Other"" -> ""Women/feminism, Other"""
human,"1951636792672661776 Q2: normalized label/separator/case: raw=""Gender issues, Social issues, Friends/socializing, Other"" -> ""Friends/socializing, Gender issues, Social issues, Other"""
human,"EDDY-062 Q8: normalized label/separator/case: raw=""General political/social/cultural problems, Western political/social influence, Other"" -> ""Western political/social influence, Other"""
human,"EDDY-062 Q2: normalized label/separator/case: raw=""Gender issues, Social issues, Gaming/technology, Family/children"" -> ""Family/children, Gender issues, Social issues, Gaming/technology"""
human,"EDDY-037 Q10: normalized label/separator/case: raw=""Personal story, Advice/instruction"" -> ""Advice/instruction, Personal story"""
human,"RIX-026 Q2: normalized label/separator/case: raw=""Mental health, Social issues, e.g. corruption"" -> ""Mental health, Social issues"""
human,"RIX-078 Q8: normalized label/separator/case: raw=""Mental health/emotional struggle, Global political/social/cultural problems, Other"" -> ""Global political/social/cultural problems, Mental health/emotional struggle, Other"""
human,"RIX-078 Q2: normalized label/separator/case: raw=""Mental health, Social issues, e.g. corruption"" -> ""Mental health, Social issues"""
human,"RIX-078 Q12: normalized label/separator/case: raw=""Cultural/social observations, Personal experience"" -> ""Personal experience, Cultural/social observations"""
human,"RIX-085 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Mental health"" -> ""Mental health, Gender issues"""
human,"RIX-085 Q12: normalized label/separator/case: raw=""Stories about men/women, Personal experience"" -> ""Personal experience, Stories about men/women"""
human,"PHIL-016 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Social issues, e.g. corruption"" -> ""Gender issues, Social issues"""
human,"PHIL-020 Q2: normalized label/separator/case: raw=""Family/children, Gender issues, e.g. equality, Money/status"" -> ""Family/children, Money/status, Gender issues"""
human,"PHIL-021 Q8: normalized label/separator/case: raw=""Women/feminism, Kenyan or Nigerian political/social problems"" -> ""Kenyan or Nigerian political/social problems, Women/feminism"""
human,"PHIL-021 Q2: normalized label/separator/case: raw=""Family/children, Dating/marriage, Gender issues, e.g. equality"" -> ""Dating/marriage, Family/children, Gender issues"""
human,"PHIL-026 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Social issues, e.g. corruption"" -> ""Gender issues, Social issues"""
human,"PHIL-026 Q10: normalized label/separator/case: raw=""News/telling facts, Commentary/opinion"" -> ""Commentary/opinion, News/telling facts"""
human,"KIBE-005 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality"" -> ""Gender issues"""
human,"KIBE-005 Q10: normalized label/separator/case: raw=""Commentary/opinion, Personal story"" -> ""Personal story, Commentary/opinion"""
human,"KIBE-037 Q2: normalized label/separator/case: raw=""Friends/socializing, Dating/marriage"" -> ""Dating/marriage, Friends/socializing"""
human,"KIBE-037 Q12: normalized label/separator/case: raw=""Personal experience, Generalizations about men/women"" -> ""Generalizations about men/women, Personal experience"""
human,"KIBE-067 Q2: normalized label/separator/case: raw=""Family/children, Gender issues, e.g. equality"" -> ""Family/children, Gender issues"""
human,"KIBE-069 Q8: normalized label/separator/case: raw=""Women/feminism, Kenyan or Nigerian political/social problems"" -> ""Kenyan or Nigerian political/social problems, Women/feminism"""
human,"1976943608214212735 Q8: normalized label/separator/case: raw=""Women/feminism, Kenyan or Nigerian political/social problems"" -> ""Kenyan or Nigerian political/social problems, Women/feminism"""
human,"2035227655516061989 Q2: normalized label/separator/case: raw=""Money/status, Dating/marriage"" -> ""Dating/marriage, Money/status"""
human,"2035227655516061989 Q11: normalized label/separator/case: raw=""Status seeking, Self expression/identity construction"" -> ""Self expression/identity construction, Status seeking"""
human,"2040452017219310007 Q2: normalized label/separator/case: raw=""Dating/marriage, Gender issues, e.g. equality"" -> ""Dating/marriage, Gender issues"""
human,"2040452017219310007 Q9: normalized label/separator/case: raw=""More equality/respect for men, Assert dominance/control"" -> ""Assert dominance/control, More equality/respect for men"""
human,"2040452017219310007 Q18A: normalized label/separator/case: raw=""Calls for women to follow more traditional gender norm"" -> ""Calls for women to follow more traditional gender norms"""
human,"2047926330331684873 Q9: normalized label/separator/case: raw=""More self-discipline/fitness, More wealth/status"" -> ""More wealth/status, More self-discipline/fitness"""
human,"2047971502197195023 Q2: normalized label/separator/case: raw=""Family/children, Dating/marriage"" -> ""Dating/marriage, Family/children"""
human,"KIBE-036 Q12: normalized label/separator/case: raw=""Personal experience, Generalizations about men/women"" -> ""Generalizations about men/women, Personal experience"""
human,"KIBE-088 Q2: normalized label/separator/case: raw=""Gender issues, e.g. equality, Other"" -> ""Gender issues, Other"""
human,"EDDY-005 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"EDDY-017 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"EDDY-023 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"EDDY-035 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"EDDY-055 Q11: normalized label/separator/case: raw=""Connection/social interaction, entertainment/escapism"" -> ""Entertainment/escapism, Connection/social interaction"""
human,"RIX-018 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"RIX-018 Q7: normalized label/separator/case: raw=""Men need to be more emotionally open"" -> ""Men need to be emotionally open"""
human,"RIX-046 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"RIX-047 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"RIX-076 Q11: normalized label/separator/case: raw=""Connection/social interaction, self expression/identity construction, information seeking"" -> ""Information seeking, Connection/social interaction, Self expression/identity construction"""
human,"PHIL-006 Q11: normalized label/separator/case: raw=""Self expression/identity construction, information seeking"" -> ""Information seeking, Self expression/identity construction"""
human,"PHIL-014 Q11: normalized label/separator/case: raw=""Self expression/identity construction, information seeking"" -> ""Information seeking, Self expression/identity construction"""
human,"PHIL-015 Q11: normalized label/separator/case: raw=""Self expression/identity construction, information seeking"" -> ""Information seeking, Self expression/identity construction"""
human,"PHIL-023 Q11: normalized label/separator/case: raw=""Self expression/identity construction, information seeking"" -> ""Information seeking, Self expression/identity construction"""
human,"PHIL-031 Q11: normalized label/separator/case: raw=""Self expression/identity construction, information seeking"" -> ""Information seeking, Self expression/identity construction"""
human,"KIBE-034 Q3: normalized label/separator/case: raw=""Commentary/reaction content, interview/conversational content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"KIBE-079 Q3: normalized label/separator/case: raw=""Commentary/reaction content, interview/conversational content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"KIBE-083 Q3: normalized label/separator/case: raw=""Commentary/reaction content, interview/conversational content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"1951546068304314751 Q2: normalized label/separator/case: raw=""Dating/marriage, gender issues, money/status"" -> ""Dating/marriage, Money/status, Gender issues"""
human,"1951546068304314751 Q3: normalized label/separator/case: raw=""Commentary/reaction content, motivational/self-help content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"1951546068304314751 Q10: normalized label/separator/case: raw=""Commentary/opinion, advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"1951583978584002773 Q10: normalized label/separator/case: raw=""Commentary/opinion, advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"1951659746303377415 Q3: normalized label/separator/case: raw=""Commentary/reaction content, motivational/self-help content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"1951659746303377415 Q10: normalized label/separator/case: raw=""Commentary/opinion, advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"1954860355793953085 Q3: normalized label/separator/case: raw=""Commentary/reaction content, interview/conversational content"" -> ""Interview/conversational content, Commentary/reaction content"""
human,"1954860355793953085 Q10: normalized label/separator/case: raw=""Commentary/opinion, advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"1973440936542720469 Q3: normalized label/separator/case: raw=""Commentary/reaction content, motivational/self-help content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"1973440936542720469 Q10: normalized label/separator/case: raw=""Commentary/opinion, advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"2035235206035034470 Q3: normalized label/separator/case: raw=""Commentary/reaction content, motivational/self-help content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"2035235206035034470 Q10: normalized label/separator/case: raw=""Commentary/opinion, advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
human,"2035333355189747989 Q3: normalized label/separator/case: raw=""Commentary/reaction content, motivational/self-help content"" -> ""Motivational/self-help content, Commentary/reaction content"""
human,"2035333355189747989 Q10: normalized label/separator/case: raw=""Commentary/opinion, advice/instruction"" -> ""Advice/instruction, Commentary/opinion"""
llm,"RIX-002 Q13: normalized label/separator/case: raw=""References external sources"" -> ""References external sources such as other influencers"""
